transaction_id,date,customer_id,product_id,store_id,quantity,unit_price,promotion_applied,revenue
T100057,2024-12-10,C5893,P1083,S107,2,40.38,1,72.68
T100058,2024-03-20,C6919,P1051,S103,1,11.55,1,10.4
T100059,2024-03-05,C6140,P1078,S112,1,102.27,0,102.27
T100060,2024-10-20,C6233,P1024,S102,1,16.74,0,16.74
T100061,2024-11-04,C5757,P1089,S106,3,28.27,1,76.33
T100062,2024-07-25,C6173,P1029,S101,3,32.02,1,86.45
T100063,2024-02-06,C6764,P1088,S101,1,310.89,0,310.89
T100064,2024-04-15,C5204,P1065,S103,2,568.2,0,1136.4
T100065,2024-02-24,C5491,P1009,S111,1,118.85,0,118.85
T100066,2024-08-02,C5703,P1054,S105,1,250.09,0,250.09
T100067,2024-10-03,C6170,P1098,S103,1,176.7,0,176.7
T100068,2024-11-27,C6252,P1010,S110,2,18.18,0,36.36
T100069,2024-07-19,C6554,P1092,S108,2,175.96,1,316.73
T100070,2024-04-28,C6359,P1075,S107,1,27.06,0,27.06
T100071,2024-07-20,C5984,P1065,S104,1,568.2,0,568.2
T100072,2024-01-04,C6229,P1058,S108,3,3.34,0,10.02
T100073,2024-06-08,C5712,P1018,S110,1,117.86,0,117.86
T100074,2024-10-31,C5933,P1092,S111,1,175.96,1,158.36
T100075,2024-10-01,C6618,P1063,S103,1,1.48,0,1.48
T100076,2024-06-10,C6169,P1090,S105,1,266.21,0,266.21
T100077,2024-03-17,C6742,P1076,S105,1,158.33,0,158.33
T100078,2024-07-27,C5921,P1080,S111,1,420.42,0,420.42
T100079,2024-07-28,C6703,P1020,S112,2,139.37,0,278.74
T100080,2024-12-21,C5461,P1053,S110,1,130.84,0,130.84
T100081,2024-01-15,C5476,P1026,S112,2,199.04,0,398.08
T100082,2024-02-21,C6611,P1036,S109,1,93.47,0,93.47
T100083,2024-05-03,C5331,P1078,S101,2,102.27,0,204.54
T100084,2024-02-11,C5453,P1069,S111,3,196.61,0,589.83
T100085,2024-08-26,C6635,P1034,S108,1,172.77,0,172.77
T100086,2024-01-30,C5086,P1070,S106,1,231.39,0,231.39
T100087,2024-04-21,C6893,P1048,S108,1,413.62,0,413.62
T100088,2024-05-10,C6036,P1079,S109,2,75.04,0,150.08
T100089,2024-02-12,C6485,P1030,S101,1,10.6,0,10.6
T100090,2024-02-04,C6040,P1007,S106,1,250.56,0,250.56
T100091,2024-08-08,C5443,P1053,S112,1,130.84,0,130.84
T100092,2024-04-23,C5136,P1068,S104,1,105.89,0,105.89
T100093,2024-05-28,C6279,P1027,S103,1,91.55,0,91.55
T100094,2024-09-07,C5408,P1004,S105,1,28.22,0,28.22
T100095,2024-04-28,C5119,P1051,S111,1,11.55,0,11.55
T100096,2024-12-21,C5972,P1052,S102,1,8.16,0,8.16
T100097,2024-12-19,C5583,P1069,S101,1,196.61,0,196.61
T100098,2024-05-19,C6232,P1082,S102,2,15.76,0,31.52
T100099,2024-05-01,C6138,P1002,S110,1,191.81,0,191.81
T100100,2024-10-01,C6876,P1099,S104,1,152.47,0,152.47
T100101,2024-03-28,C5089,P1059,S108,2,596.16,0,1192.32
T100102,2024-05-02,C5903,P1006,S105,1,6.02,0,6.02
T100103,2024-04-09,C6915,P1028,S111,2,311.94,0,623.88
T100104,2024-06-09,C6543,P1012,S103,1,190.29,0,190.29
T100105,2024-11-09,C6153,P1049,S112,1,74.15,1,66.74
T100106,2024-09-06,C6779,P1048,S107,4,413.62,0,1654.48
T100107,2024-11-18,C6061,P1092,S109,2,175.96,0,351.92
T100108,2024-02-18,C6201,P1089,S109,1,28.27,1,25.44
T100109,2024-04-08,C6946,P1085,S111,2,321.0,0,642.0
T100110,2024-07-26,C6861,P1061,S108,1,163.04,0,163.04
T100111,2024-02-20,C6373,P1023,S104,2,180.16,1,324.29
T100112,2024-10-07,C5732,P1010,S104,1,18.18,0,18.18
T100113,2024-03-29,C6775,P1079,S101,1,75.04,0,75.04
T100114,2024-05-01,C5173,P1031,S109,2,52.15,0,104.3
T100115,2024-10-17,C6231,P1019,S103,2,157.28,0,314.56
T100116,2024-02-22,C5542,P1064,S101,2,149.24,0,298.48
T100117,2024-07-06,C5625,P1023,S107,1,180.16,1,162.14
T100118,2024-06-02,C6183,P1021,S107,1,33.42,0,33.42
T100119,2024-02-18,C5440,P1033,S109,4,291.8,0,1167.2
T100120,2024-10-22,C5401,P1096,S104,1,234.47,0,234.47
T100121,2024-10-26,C6842,P1052,S108,1,8.16,0,8.16
T100122,2024-10-19,C5790,P1048,S107,1,413.62,0,413.62
T100123,2024-11-25,C6143,P1040,S103,1,282.49,1,254.24
T100124,2024-06-20,C6906,P1088,S112,1,310.89,0,310.89
T100125,2024-07-15,C6549,P1052,S112,1,8.16,0,8.16
T100126,2024-12-18,C6746,P1023,S104,2,180.16,1,324.29
T100127,2024-12-26,C5179,P1017,S110,1,10.04,0,10.04
T100128,2024-12-05,C6612,P1039,S106,3,93.18,0,279.54
T100129,2024-11-22,C6600,P1099,S107,2,152.47,0,304.94
T100130,2024-10-01,C5840,P1067,S108,1,135.11,0,135.11
T100131,2024-03-01,C5907,P1052,S101,1,8.16,0,8.16
T100132,2024-07-29,C6757,P1032,S103,1,133.65,0,133.65
T100133,2024-11-25,C6743,P1053,S109,1,130.84,0,130.84
T100134,2024-04-19,C5363,P1014,S105,1,140.0,0,140.0
T100135,2024-01-13,C5241,P1087,S104,3,21.95,0,65.85
T100136,2024-06-23,C6734,P1073,S112,4,344.68,0,1378.72
T100137,2024-03-13,C5009,P1028,S102,2,311.94,0,623.88
T100138,2024-11-19,C5577,P1010,S112,2,18.18,0,36.36
T100139,2024-06-05,C5008,P1037,S108,3,285.77,0,857.31
T100140,2024-12-11,C6265,P1001,S106,1,183.09,0,183.09
T100141,2024-04-25,C5677,P1013,S105,2,83.23,0,166.46
T100142,2024-06-08,C6826,P1032,S103,1,133.65,0,133.65
T100143,2024-08-26,C5148,P1087,S108,1,21.95,0,21.95
T100144,2024-08-31,C6000,P1028,S106,2,311.94,0,623.88
T100145,2024-09-02,C6671,P1082,S105,1,15.76,0,15.76
T100146,2024-03-18,C5197,P1078,S110,1,102.27,0,102.27
T100147,2024-03-21,C5192,P1098,S105,1,176.7,0,176.7
T100148,2024-03-29,C5407,P1083,S107,2,40.38,0,80.76
T100149,2024-07-17,C6230,P1094,S110,1,287.69,0,287.69
T100150,2024-08-29,C5890,P1025,S108,2,31.62,0,63.24
T100151,2024-08-17,C6793,P1030,S107,1,10.6,0,10.6
T100152,2024-05-18,C5637,P1095,S101,1,346.02,0,346.02
T100153,2024-12-31,C6671,P1097,S107,2,57.0,0,114.0
T100154,2024-05-02,C5808,P1050,S109,1,36.72,0,36.72
T100155,2024-03-15,C5381,P1099,S108,1,152.47,0,152.47
T100156,2024-03-09,C5768,P1035,S102,2,216.25,0,432.5
T100157,2024-03-28,C5471,P1010,S111,2,18.18,0,36.36
T100158,2024-06-02,C5495,P1032,S107,2,133.65,0,267.3
T100159,2024-11-20,C5845,P1007,S101,1,250.56,0,250.56
T100160,2024-06-05,C6834,P1066,S112,1,169.16,0,169.16
T100161,2024-10-25,C6182,P1036,S108,1,93.47,0,93.47
T100162,2024-01-09,C5068,P1078,S110,1,102.27,0,102.27
T100163,2024-05-26,C6187,P1034,S107,1,172.77,0,172.77
T100164,2024-11-26,C5072,P1096,S111,1,234.47,0,234.47
T100165,2024-01-26,C5411,P1015,S107,2,15.36,0,30.72
T100166,2024-12-22,C5852,P1016,S109,1,61.7,0,61.7
T100167,2024-09-08,C5231,P1066,S105,1,169.16,0,169.16
T100168,2024-05-24,C5236,P1069,S107,2,196.61,0,393.22
T100169,2024-05-05,C6005,P1043,S108,2,26.88,0,53.76
T100170,2024-02-10,C5088,P1023,S106,2,180.16,1,324.29
T100171,2024-03-23,C5241,P1083,S106,2,40.38,1,72.68
T100172,2024-07-04,C6742,P1047,S106,2,17.68,0,35.36
T100173,2024-08-10,C6135,P1044,S107,1,33.2,0,33.2
T100174,2024-07-23,C5843,P1003,S103,2,22.93,1,41.27
T100175,2024-04-10,C6410,P1093,S105,2,9.54,0,19.08
T100176,2024-02-19,C6774,P1077,S105,1,53.8,0,53.8
T100177,2024-09-11,C6598,P1073,S107,2,344.68,0,689.36
T100178,2024-05-08,C6347,P1025,S105,1,31.62,1,28.46
T100179,2024-01-09,C6048,P1062,S101,1,258.92,0,258.92
T100180,2024-02-15,C6718,P1068,S101,1,105.89,0,105.89
T100181,2024-05-12,C6828,P1028,S109,1,311.94,0,311.94
T100182,2024-11-27,C5012,P1007,S107,1,250.56,0,250.56
T100183,2024-04-05,C6083,P1087,S103,2,21.95,0,43.9
T100184,2024-04-27,C6150,P1063,S101,1,1.48,0,1.48
T100185,2024-12-21,C6779,P1030,S102,1,10.6,0,10.6
T100186,2024-05-03,C6549,P1088,S111,1,310.89,0,310.89
T100187,2024-07-02,C6737,P1044,S109,1,33.2,0,33.2
T100188,2024-01-27,C5834,P1048,S110,1,413.62,0,413.62
T100189,2024-10-17,C6015,P1092,S104,1,175.96,0,175.96
T100190,2024-07-28,C6114,P1083,S107,1,40.38,0,40.38
T100191,2024-12-20,C6958,P1049,S110,4,74.15,1,266.94
T100192,2024-07-04,C6558,P1094,S101,1,287.69,0,287.69
T100193,2024-09-21,C5142,P1066,S107,1,169.16,0,169.16
T100194,2024-05-03,C6701,P1073,S103,1,344.68,0,344.68
T100195,2024-12-29,C5042,P1041,S101,1,163.54,0,163.54
T100196,2024-07-05,C6554,P1093,S106,1,9.54,0,9.54
T100197,2024-02-09,C5221,P1058,S111,3,3.34,0,10.02
T100198,2024-07-03,C5862,P1015,S103,1,15.36,0,15.36
T100199,2024-03-24,C6839,P1087,S109,1,21.95,0,21.95
T100200,2024-12-26,C6876,P1087,S111,1,21.95,0,21.95
T100201,2024-04-02,C5995,P1011,S106,2,276.92,0,553.84
T100202,2024-10-02,C5829,P1039,S112,1,93.18,1,83.86
T100203,2024-10-13,C5125,P1024,S101,2,16.74,0,33.48
T100204,2024-03-17,C5465,P1050,S110,1,36.72,0,36.72
T100205,2024-01-24,C5772,P1026,S111,1,199.04,0,199.04
T100206,2024-10-30,C5465,P1022,S104,2,122.72,0,245.44
T100207,2024-03-23,C6276,P1042,S103,1,71.2,0,71.2
T100208,2024-03-23,C6913,P1086,S109,1,20.4,0,20.4
T100209,2024-07-23,C6067,P1071,S102,1,17.19,1,15.47
T100210,2024-12-23,C6011,P1024,S112,2,16.74,0,33.48
T100211,2024-01-13,C6427,P1059,S104,1,596.16,0,596.16
T100212,2024-08-30,C5628,P1056,S101,1,525.76,0,525.76
T100213,2024-01-09,C5813,P1018,S111,2,117.86,0,235.72
T100214,2024-03-31,C5962,P1092,S106,1,175.96,0,175.96
T100215,2024-07-30,C5628,P1075,S109,1,27.06,0,27.06
T100216,2024-03-23,C6292,P1098,S107,1,176.7,0,176.7
T100217,2024-04-02,C5186,P1060,S109,1,29.52,0,29.52
T100218,2024-01-22,C5872,P1008,S109,1,29.24,0,29.24
T100219,2024-10-09,C5672,P1024,S112,1,16.74,0,16.74
T100220,2024-06-10,C5739,P1001,S112,2,183.09,0,366.18
T100221,2024-02-25,C6208,P1088,S106,1,310.89,0,310.89
T100222,2024-08-17,C6935,P1019,S102,1,157.28,1,141.55
T100223,2024-10-07,C5261,P1080,S110,2,420.42,0,840.84
T100224,2024-03-23,C6075,P1053,S104,1,130.84,0,130.84
T100225,2024-01-17,C5558,P1002,S101,1,191.81,0,191.81
T100226,2024-06-02,C5582,P1090,S102,1,266.21,0,266.21
T100227,2024-10-01,C5495,P1000,S102,1,28.57,0,28.57
T100228,2024-11-11,C6012,P1025,S110,1,31.62,1,28.46
T100229,2024-09-03,C6151,P1061,S111,1,163.04,0,163.04
T100230,2024-08-11,C6885,P1000,S107,2,28.57,0,57.14
T100231,2024-03-02,C5595,P1094,S102,1,287.69,0,287.69
T100232,2024-07-23,C5128,P1087,S101,2,21.95,0,43.9
T100233,2024-03-29,C5327,P1043,S101,1,26.88,0,26.88
T100234,2024-03-13,C5950,P1073,S105,4,344.68,0,1378.72
T100235,2024-07-07,C6878,P1066,S101,1,169.16,0,169.16
T100236,2024-02-05,C5669,P1047,S104,3,17.68,0,53.04
T100237,2024-11-27,C6894,P1011,S104,2,276.92,0,553.84
T100238,2024-04-15,C5123,P1003,S107,1,22.93,1,20.64
T100239,2024-01-25,C6183,P1068,S108,1,105.89,0,105.89
T100240,2024-12-12,C5551,P1073,S111,1,344.68,0,344.68
T100241,2024-07-22,C6117,P1040,S101,3,282.49,0,847.47
T100242,2024-08-06,C5782,P1098,S109,3,176.7,0,530.1
T100243,2024-05-26,C6371,P1023,S104,1,180.16,1,162.14
T100244,2024-04-14,C5281,P1086,S111,3,20.4,0,61.2
T100245,2024-09-14,C5129,P1076,S106,1,158.33,0,158.33
T100246,2024-10-18,C5905,P1063,S110,1,1.48,0,1.48
T100247,2024-03-10,C5723,P1062,S109,1,258.92,0,258.92
T100248,2024-04-25,C5215,P1088,S105,1,310.89,0,310.89
T100249,2024-06-07,C5095,P1028,S112,1,311.94,0,311.94
T100250,2024-03-01,C5141,P1085,S102,1,321.0,0,321.0
T100251,2024-07-19,C6897,P1014,S101,2,140.0,0,280.0
T100252,2024-02-15,C5667,P1005,S111,2,6.32,0,12.64
T100253,2024-04-06,C6627,P1017,S104,4,10.04,0,40.16
T100254,2024-07-24,C6473,P1045,S106,1,20.96,0,20.96
T100255,2024-07-18,C5474,P1032,S102,2,133.65,0,267.3
T100256,2024-02-11,C6292,P1009,S104,1,118.85,0,118.85
T100257,2024-02-04,C6027,P1048,S101,1,413.62,0,413.62
T100258,2024-05-12,C5638,P1015,S103,1,15.36,0,15.36
T100259,2024-12-31,C5121,P1013,S112,2,83.23,0,166.46
T100260,2024-05-09,C5864,P1058,S108,1,3.34,0,3.34
T100261,2024-08-28,C5739,P1053,S109,1,130.84,0,130.84
T100262,2024-01-05,C6461,P1089,S103,1,28.27,1,25.44
T100263,2024-12-24,C5288,P1073,S101,1,344.68,0,344.68
T100264,2024-08-24,C5452,P1047,S110,1,17.68,0,17.68
T100265,2024-11-10,C6588,P1082,S107,4,15.76,0,63.04
T100266,2024-05-10,C6951,P1077,S108,1,53.8,0,53.8
T100267,2024-02-24,C6158,P1025,S110,1,31.62,1,28.46
T100268,2024-01-21,C5115,P1001,S103,1,183.09,0,183.09
T100269,2024-08-16,C6842,P1069,S110,1,196.61,0,196.61
T100270,2024-04-02,C6051,P1080,S104,2,420.42,0,840.84
T100271,2024-09-17,C5911,P1045,S104,1,20.96,0,20.96
T100272,2024-12-06,C6456,P1019,S106,2,157.28,1,283.1
T100273,2024-09-18,C6472,P1094,S102,2,287.69,0,575.38
T100274,2024-08-15,C5794,P1001,S108,1,183.09,0,183.09
T100275,2024-07-22,C6017,P1040,S111,1,282.49,0,282.49
T100276,2024-03-31,C5844,P1093,S108,1,9.54,0,9.54
T100277,2024-12-04,C5314,P1028,S108,1,311.94,0,311.94
T100278,2024-06-19,C5053,P1095,S106,1,346.02,0,346.02
T100279,2024-10-12,C5587,P1065,S112,2,568.2,0,1136.4
T100280,2024-05-25,C5372,P1003,S105,1,22.93,0,22.93
T100281,2024-05-01,C5917,P1017,S101,1,10.04,0,10.04
T100282,2024-05-21,C5972,P1040,S101,1,282.49,0,282.49
T100283,2024-08-13,C5487,P1000,S105,1,28.57,0,28.57
T100284,2024-11-14,C5669,P1047,S110,2,17.68,0,35.36
T100285,2024-07-18,C5688,P1071,S104,4,17.19,0,68.76
T100286,2024-07-29,C6622,P1041,S106,1,163.54,0,163.54
T100287,2024-01-26,C6651,P1031,S102,1,52.15,0,52.15
T100288,2024-05-29,C5980,P1003,S106,2,22.93,1,41.27
T100289,2024-08-30,C5592,P1089,S103,1,28.27,0,28.27
T100290,2024-12-01,C5900,P1031,S111,2,52.15,0,104.3
T100291,2024-02-03,C5897,P1040,S110,1,282.49,1,254.24
T100292,2024-12-14,C6917,P1088,S108,1,310.89,0,310.89
T100293,2024-04-25,C6733,P1019,S104,2,157.28,1,283.1
T100294,2024-02-12,C5212,P1052,S102,1,8.16,0,8.16
T100295,2024-08-03,C5960,P1056,S101,1,525.76,0,525.76
T100296,2024-12-14,C6071,P1074,S107,1,531.52,0,531.52
T100297,2024-02-23,C5876,P1089,S109,1,28.27,0,28.27
T100298,2024-03-29,C6012,P1034,S103,2,172.77,0,345.54
T100299,2024-02-03,C6435,P1000,S108,1,28.57,0,28.57
T100300,2024-10-23,C5033,P1068,S108,2,105.89,0,211.78
T100301,2024-05-20,C6978,P1048,S112,1,413.62,0,413.62
T100302,2024-04-29,C6112,P1000,S103,2,28.57,0,57.14
T100303,2024-11-27,C5511,P1059,S108,2,596.16,0,1192.32
T100304,2024-10-13,C6036,P1073,S101,1,344.68,0,344.68
T100305,2024-04-01,C6736,P1075,S107,1,27.06,0,27.06
T100306,2024-09-30,C6545,P1079,S103,2,75.04,0,150.08
T100307,2024-10-30,C5554,P1071,S104,1,17.19,1,15.47
T100308,2024-09-09,C6536,P1021,S101,1,33.42,0,33.42
T100309,2024-12-04,C6208,P1050,S110,2,36.72,0,73.44
T100310,2024-05-09,C5186,P1075,S105,1,27.06,0,27.06
T100311,2024-08-20,C5387,P1000,S103,2,28.57,0,57.14
T100312,2024-01-31,C5917,P1023,S101,2,180.16,0,360.32
T100313,2024-11-30,C5340,P1052,S106,1,8.16,0,8.16
T100314,2024-01-10,C5607,P1092,S112,2,175.96,0,351.92
T100315,2024-11-04,C6546,P1072,S101,1,259.15,0,259.15
T100316,2024-04-23,C5351,P1093,S103,1,9.54,0,9.54
T100317,2024-05-21,C5259,P1077,S110,1,53.8,0,53.8
T100318,2024-02-27,C5155,P1098,S106,1,176.7,0,176.7
T100319,2024-02-18,C5513,P1055,S104,1,2.49,0,2.49
T100320,2024-10-10,C6174,P1091,S105,2,279.21,0,558.42
T100321,2024-05-08,C6580,P1002,S102,1,191.81,0,191.81
T100322,2024-02-09,C6609,P1096,S112,1,234.47,0,234.47
T100323,2024-03-11,C6226,P1038,S101,2,25.2,0,50.4
T100324,2024-12-04,C5695,P1085,S106,1,321.0,0,321.0
T100325,2024-09-18,C6800,P1012,S101,1,190.29,1,171.26
T100326,2024-02-17,C5714,P1061,S103,1,163.04,0,163.04
T100327,2024-08-22,C5748,P1020,S101,2,139.37,0,278.74
T100328,2024-11-29,C6952,P1097,S105,1,57.0,0,57.0
T100329,2024-08-25,C6158,P1067,S107,2,135.11,1,243.2
T100330,2024-02-11,C5954,P1028,S110,1,311.94,0,311.94
T100331,2024-12-28,C5314,P1039,S104,2,93.18,1,167.72
T100332,2024-03-23,C5325,P1023,S106,1,180.16,0,180.16
T100333,2024-05-18,C6886,P1067,S104,1,135.11,1,121.6
T100334,2024-07-13,C5520,P1051,S107,1,11.55,1,10.4
T100335,2024-08-25,C6457,P1084,S105,3,151.16,1,408.13
T100336,2024-02-29,C6225,P1028,S112,2,311.94,0,623.88
T100337,2024-01-05,C5850,P1043,S110,2,26.88,0,53.76
T100338,2024-01-07,C5473,P1083,S108,1,40.38,1,36.34
T100339,2024-08-02,C5129,P1091,S110,1,279.21,0,279.21
T100340,2024-06-15,C6815,P1087,S104,1,21.95,0,21.95
T100341,2024-09-12,C6288,P1059,S101,1,596.16,0,596.16
T100342,2024-09-07,C5886,P1041,S102,1,163.54,0,163.54
T100343,2024-09-25,C6125,P1024,S106,1,16.74,0,16.74
T100344,2024-04-14,C5265,P1027,S105,1,91.55,0,91.55
T100345,2024-02-05,C6905,P1062,S106,2,258.92,0,517.84
T100346,2024-10-08,C6941,P1046,S107,1,5.08,0,5.08
T100347,2024-05-01,C6815,P1046,S103,1,5.08,0,5.08
T100348,2024-06-24,C5399,P1033,S102,1,291.8,0,291.8
T100349,2024-12-13,C6838,P1014,S112,1,140.0,0,140.0
T100350,2024-03-15,C5361,P1075,S107,1,27.06,0,27.06
T100351,2024-03-04,C5384,P1040,S111,1,282.49,1,254.24
T100352,2024-07-12,C6567,P1022,S108,1,122.72,0,122.72
T100353,2024-12-12,C5868,P1039,S102,2,93.18,1,167.72
T100354,2024-01-17,C5816,P1000,S103,1,28.57,0,28.57
T100355,2024-06-29,C6731,P1005,S105,1,6.32,0,6.32
T100356,2024-02-23,C6856,P1069,S105,1,196.61,0,196.61
T100357,2024-08-01,C6072,P1015,S101,1,15.36,0,15.36
T100358,2024-02-24,C6613,P1025,S109,1,31.62,0,31.62
T100359,2024-10-12,C6071,P1012,S108,1,190.29,1,171.26
T100360,2024-03-19,C6754,P1052,S104,1,8.16,0,8.16
T100361,2024-01-29,C5897,P1033,S104,1,291.8,0,291.8
T100362,2024-03-24,C6153,P1044,S105,1,33.2,0,33.2
T100363,2024-03-13,C5875,P1030,S106,3,10.6,0,31.8
T100364,2024-03-20,C6263,P1026,S110,1,199.04,0,199.04
T100365,2024-01-26,C5043,P1013,S111,1,83.23,0,83.23
T100366,2024-08-06,C5347,P1017,S103,1,10.04,0,10.04
T100367,2024-10-04,C6683,P1026,S102,1,199.04,0,199.04
T100368,2024-08-23,C6653,P1037,S110,1,285.77,0,285.77
T100369,2024-05-12,C5036,P1091,S109,1,279.21,0,279.21
T100370,2024-07-29,C6491,P1094,S106,1,287.69,0,287.69
T100371,2024-05-28,C6660,P1078,S101,1,102.27,0,102.27
T100372,2024-12-20,C5857,P1028,S112,1,311.94,0,311.94
T100373,2024-10-07,C6991,P1016,S101,1,61.7,0,61.7
T100374,2024-07-04,C6739,P1079,S101,2,75.04,0,150.08
T100375,2024-12-30,C6242,P1044,S106,3,33.2,0,99.6
T100376,2024-11-09,C6341,P1098,S101,1,176.7,0,176.7
T100377,2024-06-15,C5317,P1073,S108,1,344.68,0,344.68
T100378,2024-02-28,C6870,P1063,S112,3,1.48,0,4.44
T100379,2024-04-25,C5450,P1018,S107,1,117.86,0,117.86
T100380,2024-09-22,C6832,P1066,S107,1,169.16,0,169.16
T100381,2024-11-07,C6682,P1090,S111,2,266.21,0,532.42
T100382,2024-09-05,C5295,P1098,S112,1,176.7,0,176.7
T100383,2024-11-09,C6448,P1099,S104,1,152.47,0,152.47
T100384,2024-08-02,C5134,P1063,S109,2,1.48,0,2.96
T100385,2024-09-29,C6849,P1007,S107,2,250.56,0,501.12
T100386,2024-09-18,C6743,P1042,S109,2,71.2,0,142.4
T100387,2024-08-23,C5249,P1052,S102,1,8.16,0,8.16
T100388,2024-05-28,C6082,P1083,S106,1,40.38,0,40.38
T100389,2024-02-20,C6325,P1094,S112,2,287.69,0,575.38
T100390,2024-01-20,C5944,P1066,S104,2,169.16,0,338.32
T100391,2024-07-25,C6971,P1064,S102,1,149.24,0,149.24
T100392,2024-10-01,C6032,P1037,S107,1,285.77,0,285.77
T100393,2024-02-16,C6970,P1077,S109,2,53.8,0,107.6
T100394,2024-10-18,C5165,P1017,S103,1,10.04,0,10.04
T100395,2024-08-02,C6559,P1063,S112,1,1.48,0,1.48
T100396,2024-06-18,C6306,P1066,S111,1,169.16,0,169.16
T100397,2024-02-14,C6502,P1036,S110,1,93.47,0,93.47
T100398,2024-09-02,C6119,P1092,S110,1,175.96,0,175.96
T100399,2024-02-11,C6660,P1068,S111,1,105.89,0,105.89
T100400,2024-09-14,C6625,P1070,S104,1,231.39,0,231.39
T100401,2024-03-31,C6919,P1018,S101,1,117.86,0,117.86
T100402,2024-03-03,C6018,P1056,S103,1,525.76,0,525.76
T100403,2024-04-12,C6387,P1034,S108,1,172.77,0,172.77
T100404,2024-04-28,C6866,P1044,S104,2,33.2,0,66.4
T100405,2024-04-27,C6093,P1006,S110,1,6.02,0,6.02
T100406,2024-09-18,C5984,P1032,S101,3,133.65,0,400.95
T100407,2024-10-18,C5914,P1043,S109,1,26.88,0,26.88
T100408,2024-09-07,C6382,P1039,S110,2,93.18,0,186.36
